"skillID";"skillLabel";"isTypeIB";"header";"predictable";"abbrev";"color";"textcolor"
1;"Grit";0;"";1;"";"";""
2;"Initiative";0;"";1;"";"";""
3;"Innovation";-1;"";0;"";"";""
4;"Creative Thinking";0;"";1;"";"";""
6;"Curiosity";-1;"";0;"";"";""
7;"Emotional Intelligence";0;"";1;"";"";""
8;"Problem Solving";0;"";1;"";"";""
9;"Critical Thinking";-1;"";0;"";"";""
10;"Adaptability";0;"";1;"";"";""
11;"Teamwork";0;"";1;"";"";""
12;"Priority Setting";0;"";1;"";"";""
14;"Risk Taking";0;"";1;"";"";""
15;"Ethical Judgement";0;"";1;"";"";""
16;"Sustainability";-1;"";0;"";"";""
17;"Intercultural Skills";-1;"";0;"";"";""
18;"Community Engagement";0;"";1;"";"";""
19;"Communication";0;"";1;"";"";""
20;"Leadership";0;"";1;"";"";""
21;"Conflict Resolution";-1;"";0;"";"";""
22;"Customer Service";-1;"";0;"";"";""
23;"Interpersonal Skills";-1;"";0;"";"";""
24;"Written Communication";-1;"";0;"";"";""
25;"Inquirers";1;"";0;"";"";""
26;"Knowledgable";1;"";0;"";"";""
27;"Thinkers";1;"";0;"";"";""
28;"Communicators";1;"";0;"";"";""
29;"Principled";1;"";0;"";"";""
30;"Open-minded";1;"";0;"";"";""
31;"Reflective";1;"";0;"";"";""
32;"Caring";1;"";0;"";"";""
33;"Balanced";1;"";0;"";"";""
34;"Courageous";1;"";0;"";"";""
35;"Steward";1;"";0;"";"";""
36;"Leader";1;"";0;"";"";""
37;"Demonstrating Knowledge of Content and Pedagogy Knowledge of content";2;"";0;"";"";""
38;"Demonstrating Knowledge of Students";2;"";0;"";"";""
39;"Selecting Instructional Goals";2;"";0;"";"";""
40;"Demonstrating Knowledge of Resources";2;"";0;"";"";""
41;"Designing Coherent Instruction";2;"";0;"";"";""
42;"Assessing Student Learning";2;"";0;"";"";""
43;"Creating an Environment of Respect and Rapport";2;"";0;"";"";""
44;"Establishing a Culture for Learning";2;"";0;"";"";""
45;"Managing Classroom Procedures";2;"";0;"";"";""
46;"Managing Student Behavior Expectations";2;"";0;"";"";""
47;"Organizing Physical Space";2;"";0;"";"";""
48;"Communicating Clearly and Accurately";2;"";0;"";"";""
