comment_id,entry_id,author_id,comment_body,is_approved,class
31,74,2802,It was great to see you here. Look forward to keeping in contact! -KS,0,0
37,71,2802,"Great work, Esther! It was great seeing you at the career fair earlier in the year! - JA",1,0
39,40,2802,Very creative. Look forward to talking in the future! - WQ,1,0
42,42,2802,way to go! loved this description,1,0
43,106,27,Great job at the car wash! Heard from many others that it was a great success. Feel free to visit my classroom for other fundraising opportunities.,1,0
44,111,27,Penn State is an amazing school! I'd be more than happy to share my experiences there as a student.,1,0
45,108,2802,Congrats on placing at the semifinals! We love to see students achieving great things in their high school careers. Keep up the good work!,1,0
46,63,2802,"Great job, Eddie! KS",0,0
48,62,2802,"Great job, Eddie! Kerry",0,0
49,112,2802,Great to meet you at the fair! Hope to stay in touch. - Mary P.,1,0
50,114,2802,Glad you enjoyed the event! We truly appreciate your service to our nation.,1,0
56,60,2802,Glad to see you're making yourself aware of another perspective in the interview process. Asking the right questions really do help you find the right fit. Good work! - JD,1,1
57,66,2802,"Congratulations! You and your group sounded like you really worked hard for this. Sometimes long projects can cause a lot of stress. But with the right team, you can achieve great things! Speaking of competitions, check out some of the winners in Pepsico's pitch competition: http://laurierentrepreneur.ca/academic/pepsico-pitch-competition/",1,1
58,64,2440,"Great job planning this event! I was passing by the HUB and saw a great turnout. Although you experienced some hiccups along the way, you and your team were able to overcome the challenges. Keep it up!",1,0
59,67,2440,THON is an incredible way to help a community in need. I'm sure your dancer was pleased to have you as her support. Amazing job!,1,0
60,34,2802,"Hi Caroline, great job for initiating this campaign. As a company, we also care about health and safety for our employees! Check out this link to learn more - http://www.pepsico.com/Purpose/Talent-Sustainability/Health-and-Safety . Hope to connect with you soon!",1,0
61,33,2802,Nice planning! We love seeing students take part in helping college parents. And teamwork is key to successful planning! Keep up the good work.,1,0
62,31,2440,Always happy to see students encouraging others to vote. We certainly need young voters to help move our country forward. Thanks for your efforts! We'll connect in class.,1,0
63,15,2440,This is a great step towards mentorship! Helping others through your own experiences is truly beneficial for them! Always give back when you have the chance. Outstanding work!,1,0
64,37,2802,Great job!,1,0
73,102,2802,Nice work! Have you seen this article?,1,0
94,60,2802,Glad to see you're making yourself aware of another perspective in the interview process. Asking the right questions really does help you find the right fit. Good work! - JD,1,0
101,403,3113,"Helena, I like how you put your work into perspective and saw the big picture.  Coaches are multi-faceted, visionaries.   Buying into a dream is where our company starts and we need people like you to make our dream a reality. Please check our recruitment page for positions that may fit your interests.(https://angel.co/live-it/jobs).  Also, if you want to grow your skills futher check out Penn State's TED-x coming up (http://www.tedxpsu.com/). Keep up the good work!",1,1
114,440,3129,"Great job!  I was able to attend the 2015 Thon as a spectator and it was a singular, fantastic experience.  Energy in the building was off the chart.",1,0
115,429,3129,Congratulations!  There is nothing I like more than the drums in a marching band.,1,0
116,148,3129,I hope you were not crushed by the VW scandal.  Maybe next time you can make a Chevy symbol.  :),1,0
117,437,3129,Both my daughters did a semester in England and I was able to visit each one of them.  I agree with you that travel opens a part of the mind that stays closed off unless it gets to experience different cultures.,1,0
118,433,3129,Sounds like a fantastic cultural experience.  I have also visited Germany on several occasions.,1,0
119,436,3129,"I was fortunate to attend Thon in 2015 as a spectator when my daughter danced.  I agree with you that it is one of the highlights in my life, the caring and energy in the building was something to behold.",1,0
120,448,3129,"Theory is nice and needed, but isn't it always great to build something and see how it goes?  Also to realize the satisfaction.",1,0
121,281,3129,"Is it as good as the Sandra Bullock movie """"Gravity""""?",0,0
122,43,3129,"Congrats for becoming involved in Thon, it is truly a fantastic student led enterprise.",1,0
123,51,3129,Thank you for all your service!,0,0
124,419,3129,Where do you find the time?  It would be interesting to hear more about your study abroad experiences.,1,0
125,434,3116,"Thank you for your efforts to beautify the local community. The mission of this organization is wonderful, and your website design is very appealing. Nice work!",1,0
126,422,3116,Your dedication to this wonderful project demonstrates commitment and competence that will be valuable to employers. Your efforts to create beauty in the community will be enjoyed for many years to come!,1,1
127,429,3116,Your reflection upon these experiences demonstrates competence that will be valuable to employers.,1,0
128,449,3116,The skills learned from experiences like this will be applicable in many work situations.,1,0
129,197,3116,"Communication skills are vital in every profession, and it's great that you recognize this. You might enjoy this article posted last year in Forbes on this topic:  http://www.forbes.com/sites/gregsatell/2015/02/06/why-communication-is-todays-most-important-skill/#5a6ac1873638",1,1
130,437,3116,"Your reflection upon this experience shows maturity that many never attain. Stepping outside your comfort zone opens the door to wonderful new life experiences.  Meeting new people who have different perspectives and backgrounds can help you become a more open-minded individual, which is a valuable attribute that will help you succeed not just as an employee, but in all aspects of your life.",1,1
132,31,3114,Very nice to see initiative and follow through on a project that made a difference in the community. Well Done!,0,0
133,30,3114,Great to see that you are part of a group which encourages an open discussion of ideas and learning about the perspectives / views of others. I would think this is a great learning experience and a terrific way to learn to work and understand how to work with diverse groups.,0,1
134,67,3114,"First, thank you for being part of such a great cause and making your school and classmates proud. What a great experience and happy to see you take pride in supporting your dancer and the cause.",1,0
135,70,3114,Great to see that you aren't afraid to take risks and welcome the opportunity to learn. Sounds like a memorable experience!,1,0
136,125,3114,"Very nice to see that you are working to gain """"hands-on"""" experience. Learning the technical part is just as important as interacting with clients. Keep up the good work!",1,0
137,456,3130,"its great to see you get excited about the racing, but also about the technical and organizational skills that are required to make it happen.  Have you looked at the Formula SAE team as a way for experience?  its a great way to get your hands dirty, get some experience with competition, and is a real good gateway into the auto industry - including racing programs.",1,1
140,158,3126,"Christina: Your academics are impressive!  Beyond your GPA, your being an Engineering Ambassador will serve you well.  It took me a LONG time to learn what you already must know, that being that engineers who can communicates have far more value than those who cannot.  The EA program that Dr. Thole created is a shining example of communicating for engineering good so kudos to you for embracing that program.  Another beyond academic attribute that the Volvo Group supports is Women in Engrg.",0,1
141,233,3126,"Jordan: Given your interest in off-highway equipment, you may be interested to explore Volvo Construction Equipment which is headquartered in Shippensburg PA.  Let me know if/how I might help in connecting you with them and good luck with whatever employment follows.
King Regards/Skip Yeakel, Volvo Group North America",0,1
142,440,3126,"Luke: You may want to explore employment opportunities with Volvo Group North America.  We make commercial vehicles (trucks, buses, construction equipment) in the U.S. under the Mack and Volvo truck brand names + NovaBus, Prevost Coach, and Volvo Construction Equipment.
Best of Luck with Whatever Employment Opportunities Come Your Way/Skip Yeakel - Principal Engineer",1,1
143,429,3126,"Matthew: You may want to explore Volvo Group North America job opportunities in the U.S. where we make Mack and Volvo brand trucks, Nova transit buses, and Volvo Construction Equipment.
Best of Luck in Whatever Employment Comes Your Way/Skip Yeakel - Principal Engineer",1,0
144,261,3126,"Alicia: Your presidency of """"It's all about M.E."""" caught my attention as did your work as an Engineering Ambassador.  Such communications skills are valuable for diverse companies like Volvo Group North America where women engineers are of special interest.  I hope you will consider VGNA employment opportunities.
Best of Luck with Whatever Employment Comes Your Way/Skip Yeakel - Principal Engineer",1,1
