comment_id,entry_id,author_id,owner_id,comment_body,,,class
31,74,2802,0,It was great to see you here. Look forward to keeping in contact! -KS,,,0
37,71,2802,0,Great work Esther! It was great seeing you at the career fair earlier in the year! - JA,,,0
39,40,2802,0,Very creative. Look forward to talking in the future! - WQ,,,0
42,42,2802,0,way to go! loved this description,,,0
43,106,27,0,Great job at the car wash! Heard from many others that it was a great success. Feel free to visit my classroom for other fundraising opportunities.,,,0
44,111,27,0,Penn State is an amazing school! I'd be more than happy to share my experiences there as a student.,,,0
45,108,2802,0,Congrats on placing at the semifinals! We love to see students achieving great things in their high school careers. Keep up the good work!,,,0
46,63,2802,0,Great job Eddie! KS,,,0
49,112,2802,0,Great to meet you at the fair! Hope to stay in touch. - Mary P.,,,0
56,60,2802,0,Glad to see you're making yourself aware of another perspective in the interview process. Asking the right questions really do help you find the right fit. Good work! - JD,,,1
57,66,2802,0,Congratulations! You and your group sounded like you really worked hard for this. Sometimes long projects can cause a lot of stress. But with the right team you can achieve great things! Speaking of competitions check out some of the winners in Pepsico's pitch competition: http://laurierentrepreneur.ca/academic/pepsico-pitch-competition/,,,1
58,64,2440,0,Great job planning this event! I was passing by the HUB and saw a great turnout. Although you experienced some hiccups along the way you and your team were able to overcome the challenges. Keep it up!,,,1
59,67,2440,0,THON is an incredible way to help a community in need. I'm sure your dancer was pleased to have you as her support. Amazing job!,,,0
61,33,2802,0,Nice planning! We love seeing students take part in helping college parents. And teamwork is key to successful planning! Keep up the good work.,,,1
62,31,2440,0,Always happy to see students encouraging others to vote. We certainly need young voters to help move our country forward. Thanks for your efforts! We'll connect in class.,,,1
63,15,2440,0,This is a great step towards mentorship! Helping others through your own experiences is truly beneficial for them! Always give back when you have the chance. Outstanding work!,,,1
64,37,2802,0,Great job!,,,0
73,102,2802,0,Nice work! Have you seen this article?,,,0
94,60,2802,0,Glad to see you're making yourself aware of another perspective in the interview process. Asking the right questions really does help you find the right fit. Good work! - JD,,,1
101,403,3113,0,Helena I like how you put your work into perspective and saw the big picture.  Coaches are multi-faceted visionaries.   Buying into a dream is where our company starts and we need people like you to make our dream a reality. Please check our recruitment page for positions that may fit your interests.(https://angel.co/live-it/jobs).  Also if you want to grow your skills futher check out Penn State's TED-x coming up (http://www.tedxpsu.com/). Keep up the good work!,,,1
114,440,3129,0,Great job!  I was able to attend the 2015 Thon as a spectator and it was a singular fantastic experience.  Energy in the building was off the chart.,,,0
115,429,3129,0,Congratulations!  There is nothing I like more than the drums in a marching band.,,,0
